"Program Kodu","Üniversite Türü","Üniversite Adı","Fakülte/Yüksekokul Adı","Program Adı","Puan Türü","Kontenjan","Yerleşen","En Küçük Puan","En Büyük Puan","Kontenjan","Yerleşen","En Küçük Puan","En Büyük Puan","Kontenjan","Yerleşen","En Küçük Puan","En Büyük Puan","Kontenjan","Yerleşen","En Küçük Puan","En Büyük Puan","Kontenjan","Yerleşen","En Küçük Puan","En Büyük Puan"
"106510090","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","İnsan ve Toplum Bilimleri Fakültesi","Psikoloji (İngilizce)","EA","40","40","380.15232","410.17757","1","1","344.57268","344.57268","--","--","--","--","1","1","272.37491","272.37491","--","--","--","--"
"106510089","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","İnsan ve Toplum Bilimleri Fakültesi","Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce)","EA","35","36","337.21961","399.42885","1","0","--","--","--","--","--","--","1","1","256.14413","256.14413","--","--","--","--"
"106510014","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Mimarlık Fakültesi","Mimarlık (İngilizce)","SAY","50","52","358.12963","500.12106","2","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"106510077","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Mühendislik Fakültesi","Bilgisayar Mühendisliği (İngilizce)","SAY","80","80","442.53227","504.07924","2","2","413.74222","430.17090","--","--","--","--","--","--","--","--","--","--","--","--"
"106510068","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği (İngilizce)","SAY","50","50","430.68304","459.27326","2","2","382.80395","383.28486","--","--","--","--","--","--","--","--","--","--","--","--"
"106510023","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Mühendislik Fakültesi","Endüstri Mühendisliği (İngilizce)","SAY","75","75","419.16586","447.44981","2","2","390.25927","395.75247","--","--","--","--","--","--","--","--","--","--","--","--"
"106510032","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Mühendislik Fakültesi","İnşaat Mühendisliği (İngilizce)","SAY","30","31","335.75752","394.12129","1","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"106510041","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Mühendislik Fakültesi","Makine Mühendisliği (İngilizce)","SAY","50","50","403.53980","432.24241","2","2","347.53569","381.53105","--","--","--","--","--","--","--","--","--","--","--","--"
"106510105","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Mühendislik Fakültesi","Malzeme Bilimi ve Nanoteknoloji Mühendisliği (İngilizce)","SAY","20","20","386.70083","416.29952","1","1","312.99964","312.99964","--","--","--","--","--","--","--","--","--","--","--","--"
"106510087","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Yaşam ve Doğa Bilimleri Fakültesi","Biyomühendislik (İngilizce)","SAY","65","67","327.86793","389.83582","2","0","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"106510086","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Yaşam ve Doğa Bilimleri Fakültesi","Moleküler Biyoloji ve Genetik (İngilizce)","SAY","40","40","369.34897","411.25873","1","1","303.42154","303.42154","--","--","--","--","1","1","204.41120","204.41120","--","--","--","--"
"106510088","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Yönetim Bilimleri Fakültesi","Ekonomi (İngilizce)","EA","40","41","340.28688","392.67963","1","0","--","--","--","--","--","--","1","1","237.70796","237.70796","--","--","--","--"
"106510059","DEVLET","ABDULLAH GÜL ÜNİVERSİTESİ (KAYSERİ)","Yönetim Bilimleri Fakültesi","İşletme (İngilizce)","EA","30","30","357.34521","400.63892","1","1","272.69472","272.69472","--","--","--","--","1","1","198.16923","198.16923","--","--","--","--"
